tweet_id	image_id	text_info	text_info_conf	image_info	image_info_conf	text_human	text_human_conf	image_human	image_human_conf	image_damage	image_damage_conf	tweet_text	image_url	image_path
869918891664977921	869918891664977921_0	informative	1.0	informative	1.0	rescue_volunteering_or_donation_effort	1.0	affected_individuals	1.0	nan	nan	RT @irane_Azad: #Iran #News #Us Foreign aid arrives in as Sri Lanka flood toll exceeds 200 https://t.co/9yRvhLhNSC https://t.co/6nVBpaKa92	http://pbs.twimg.com/media/DBJgmLYUwAEcIeb.jpg	data_image/srilanka_floods/31_5_2017/869918891664977921_0.jpg
869950122972635136	869950122972635136_0	informative	1.0	informative	1.0	rescue_volunteering_or_donation_effort	1.0	affected_individuals	1.0	nan	nan	#FloodSL They still need our help #Flood2017 #srilanka #FloodReliefLKA photo courtesy :Shehan Gunasekara https://t.co/SBh8rLpnhl	http://pbs.twimg.com/media/DBKtU_fXoAAlVJP.jpg	data_image/srilanka_floods/31_5_2017/869950122972635136_0.jpg
869954009963970560	869954009963970560_0	informative	1.0	informative	0.643	injured_or_dead_people	1.0	affected_individuals	0.643	nan	nan	RT @IndiaToday: Death toll from Sri Lanka's worst flood since 2003 rises to 151 https://t.co/vL9JK5Vn2e https://t.co/T66G2Jidba	http://pbs.twimg.com/media/DA7h8mKXsAELpir.jpg	data_image/srilanka_floods/31_5_2017/869954009963970560_0.jpg
869954479524691968	869954479524691968_0	not_informative	0.6816	informative	1.0	not_humanitarian	0.6816	infrastructure_and_utility_damage	1.0	severe_damage	1.0	open our hands for them along with prayer. https://t.co/6biZvLkkNl https://t.co/ehvVVfziDv	http://pbs.twimg.com/media/DBKy7TjUQAAL-rh.jpg	data_image/srilanka_floods/31_5_2017/869954479524691968_0.jpg
869957051547435008	869957051547435008_0	not_informative	0.7502	informative	0.3527	not_humanitarian	0.7502	infrastructure_and_utility_damage	0.3527	severe_damage	0.7606	#FloodSL Response: State vs. Private https://t.co/k1Dwek30kD https://t.co/zPhSej19pk	http://pbs.twimg.com/media/DBK1U2fUIAQMjkC.jpg	data_image/srilanka_floods/31_5_2017/869957051547435008_0.jpg
869957461993635840	869957461993635840_0	informative	1.0	informative	0.6587	rescue_volunteering_or_donation_effort	1.0	infrastructure_and_utility_damage	0.6587	mild_damage	0.7097	https://t.co/Z4mxTO7fpp Indian Navy carries out relief operations in flood-hit Sri Lanka https://t.co/VUbcpnUwfq	http://pbs.twimg.com/media/DBK1s1nVoAELfTP.jpg	data_image/srilanka_floods/31_5_2017/869957461993635840_0.jpg
869962038214131712	869962038214131712_0	informative	0.6219	informative	1.0	affected_individuals	0.6219	infrastructure_and_utility_damage	1.0	severe_damage	1.0	Sri Lankaâ€™s flood survivors at risk of dengue, disease â€“ aid workers https://t.co/2P1zVDrOoH https://t.co/0GzvMdPwvq	http://pbs.twimg.com/media/DBK52n1VoAA90i0.jpg	data_image/srilanka_floods/31_5_2017/869962038214131712_0.jpg
869963334401052673	869963334401052673_0	informative	0.7118	not_informative	1.0	rescue_volunteering_or_donation_effort	0.7118	not_humanitarian	1.0	nan	nan	Posted by Chathura Udeshka to SL Disaster Relief 1 hr Â· #floodsl #lka https://t.co/Q1eqsM1vdd	http://pbs.twimg.com/media/DBK63maW0AEWubB.jpg	data_image/srilanka_floods/31_5_2017/869963334401052673_0.jpg
869967714948849664	869967714948849664_0	informative	0.9666	informative	1.0	injured_or_dead_people	0.9666	infrastructure_and_utility_damage	1.0	severe_damage	1.0	#FloodSL 200+ deaths reported due to floods and landslides in Sri Lanka #lka #HelpSriLanka https://t.co/QnbB8kFhZQ	http://pbs.twimg.com/media/DBK-oLcU0AEmfE3.jpg	data_image/srilanka_floods/31_5_2017/869967714948849664_0.jpg
869968240956420096	869968240956420096_0	informative	0.6284	not_informative	1.0	rescue_volunteering_or_donation_effort	0.6284	not_humanitarian	1.0	nan	nan	RT @RansaraJey: This guy is building a phone charger with 40 charge ports for flood victims #FloodSL https://t.co/ggGxYm7S9d	http://pbs.twimg.com/media/DBJMJMvVoAEn9-z.jpg	data_image/srilanka_floods/31_5_2017/869968240956420096_0.jpg
